strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
180101100901,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101070209,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600130102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201560204,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902041107,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061601,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400010101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703040603,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600040408,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201150103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102120405,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003080202,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703050602,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201290502,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701050203,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201530302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201530805,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201520101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201580301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201150503,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400140203,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600130105,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101030402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902060701,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702030102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003070205,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003090404,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500030407,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703040902,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600040105,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701040501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201590101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600020202,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003020704,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102060104,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300010505,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400080802,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003020508,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600100102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400091302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400110301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061602,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702040201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400030802,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102070304,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201041006,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300090504,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400080206,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181001000503,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003090106,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300071004,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300071302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500020601,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600070502,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701030106,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201620401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102070501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201520402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600050805,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701050402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180200050404,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702020301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300020304,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201520305,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300050901,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101040505,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703030505,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703050501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102060203,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101050107,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300030601,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300120207,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400070201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400110103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181002010303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703010401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701020401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600100701,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061702,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600040304,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101100802,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
