scientific_name,common_name
Didelphis virginiana,Virginia Opossum 
Sorex ornatus,Ornate Shrew 
Sorex vagrans,Vagrant Shrew 
Sorex sonomae,Fog Shrew 
Sorex trowbridgii,Trowbridge's Shrew 
Neurotrichus gibbsii,American Shrew mole 
Scapanus latimanus,Broad footed Mole 
Sylvilagus audubonii,Desert Cottontail 
Sylvilagus bachmani,Brush Rabbit 
Lepus californicus  ,Black tailed Jackrabbit 
Aplodontia rufa  ,Mountain Beaver 
Spermophilus beecheyi,California Ground Squirrel 
Neotamias sonomae,Sonoma Chipmunk 
Neotamias merriami,Merriam's Chipmunk 
Neotamias ochrogenys,Yellow cheeked Chipmunk 
Sciurus griseus,Western Gray Squirrel 
Tamiasciurus douglasii,Douglas Squirrel 
Thomomys bottae,Botta's Pocket Gopher 
Chaetodipus californicus,California Pocket Mouse 
Peromyscus maniculatus,Deer Mouse 
Peromyscus californicus,California Mouse 
Peromyscus boylii,Brush Mouse 
Peromyscus truei,Pinyon Mouse 
Reithrodontomys raviventris,Salt Marsh Harvest Mouse 
Reithrodontomys megalotis,Western Harvest Mouse 
Neotoma fuscipes  ,Dusky footed Woodrat 
Neotoma lepida,Desert Woodrat 
Microtus californicus,California Vole 
Ondatra zibethicus,Common Muskrat 
Rattus norvegicus,Norway Rat 
Rattus rattus,Black Rat 
Mus musculus,House Mouse 
Zapus trinotatus,Pacific Jumping Mouse 
Dipodomys heermanni  ,Heermann's Kangaroo Rat 
Castor canadensis  ,American Beaver 
Erithizon dorsatum,North American Porcupine 
Canis latrans,Coyote 
Urocyon cinereoargenteus  ,Gray Fox 
Vulpes macrotis,Kit Fox 
Bassariscus astutus,Ringtail 
Procyon lotor,Northern Raccoon 
Mustela erminea,Short tailed Weasel 
Mustela frenata  ,Long tailed Weasel 
Neovison vison,American Mink 
Taxidea taxus  ,American Badger 
Spilogale gracilis,Western Spotted Skunk 
Mephitis mephitis,Striped Skunk 
Lontra canadensis,North American River Otter 
Ursus americanus,American Black Bear 
Puma concolor  ,"Puma (Cougar, Mountain Lion) "
Lynx rufus,Bobcat 
Cervus elaphus,Tule Elk 
Odocoileus hemionus,Mule Deer 
Myotis lucifugus,Little Brown Myotis 
Myotis yumanensis,Yuma Myotis 
Myotis evotis,Long eared Myotis 
Myotis thysanodes,Fringed Myotis 
Myotis volans,Long legged Myotis 
Myotis californicus,California Myotis 
Myotis ciliolabrum,Western Small footed Myotis 
Lasionycteris noctivagans,Silver haired Bat 
Eptesicus fuscus,Big Brown Bat 
Eumops perotis,Western Mastiff Bat 
Lasiurus blossevillii,Western Red Bat 
Lasiurus cinereus,Hoary Bat 
Corynorhinus townsendii,Townsend's Big eared Bat 
Antrozous pallidus,Pallid Bat 
Tadarida brasiliensis,Brazilian (Mexican) Free tailed Bat
Parastrellus hesperus,Western Pipistrelle (Canyon Bat) 
Eschrichtius robustus,Gray Whale 
Megaptera novaeangliae,Humpback Whale 
Balaenoptera musculus,Blue Whale 
Balaenoptera physalus,Fin Whale 
Balaenoptera borealis,Sei Whale 
Balaenoptera acutorostrata,Minke Whale 
Eubalaena japonica,North Pacific Right Whale 
Globicephala macrorhynchus,Short finned Pilot Whale 
Physeter macrocephalus,Sperm Whale 
Kogia breviceps,Pygmy Sperm Whale 
Kogia sima,Dwarf Sperm Whale 
Ziphius cavirostris,Cuvier's Beaked Whale 
Berardius bairdii,Baird's Beaked Whale 
Mesoplodon carlhubbsi,Hubb's Beaked Whale 
Mesoplodon densirostris,Blainville's Beaked Whale 
Mesoplodon stejnegeri,Stejneger's Beaked Whale 
Orcinus orca,Orca (Killer Whale) 
Pseudorca crassidens,False Killer Whale 
Lagenorhynchus obliquidens,Pacific White sided Dolphin 
Phocoenoides dalli,Dall's Porpoise 
Lissodelphis borealis,Northern Right Whale Dolphin 
Delphinus delphis,Short beaked Common Dolphin 
Delphinus capensis,Long beaked Common Dolphin 
Tursiops truncates,Bottlenose Dolphin 
Stenella coeruleoalba,Striped Dolphin 
Mirounga angustirostris,Spotted Dolphin 
Steno bredanensis,Rough toothed Dolphin 
Grampus griseus,Risso's Dolphin 
Phocoena phocoena,Harbor Porpoise 
Callorhinus ursinus,Northern Fur Seal 
Arctocephalus townsendi,Guadalupe Fur Seal 
Eumetopias jubatus,Northern (Steller) Sea lion 
Zalophus californianus,California Sea lion 
Mirounga angustirostris,Northern Elephant Seal 
Phoca vitulina,Harbor Seal 
Enhydra lutris,Sea Otter 
